selecao,confederacao,codigo,dificuldade_eliminatoria,pais_sede,gerado_em,posicao,pontos,score_ranking,score_eliminatoria,score_sede,score_historico,indice_forca,indice_forca_100,ranking_projeto,calculado_em
Franca,UEFA,FRA,9.0,False,2026-05-11 08:27:03,1,1877.32,1.0,0.9,0.0,0.85,0.855,100.0,1,2026-05-11 08:27:05
Argentina,CONMEBOL,ARG,8.5,False,2026-05-11 08:27:03,3,1874.81,0.9733333333333334,0.85,0.0,1.0,0.8416666666666667,97.86,2,2026-05-11 08:27:05
Inglaterra,UEFA,ENG,9.0,False,2026-05-11 08:27:03,4,1825.97,0.96,0.9,0.0,0.55,0.805,91.98,3,2026-05-11 08:27:05
Espanha,UEFA,ESP,9.0,False,2026-05-11 08:27:03,2,1876.4,0.9866666666666667,0.9,0.0,0.4,0.8033333333333335,91.71,4,2026-05-11 08:27:05
Portugal,UEFA,POR,9.0,False,2026-05-11 08:27:03,5,1763.83,0.9466666666666667,0.9,0.0,0.55,0.7983333333333335,90.91,5,2026-05-11 08:27:05
Holanda,UEFA,NED,9.0,False,2026-05-11 08:27:03,7,1757.87,0.92,0.9,0.0,0.55,0.785,88.77,6,2026-05-11 08:27:05
Croacia,UEFA,CRO,9.0,False,2026-05-11 08:27:03,11,1717.07,0.8666666666666667,0.9,0.0,0.75,0.7783333333333333,87.7,7,2026-05-11 08:27:05
Brasil,CONMEBOL,BRA,8.5,False,2026-05-11 08:27:03,6,1761.16,0.9333333333333333,0.85,0.0,0.55,0.7766666666666667,87.43,8,2026-05-11 08:27:05
Belgica,UEFA,BEL,9.0,False,2026-05-11 08:27:03,9,1734.71,0.8933333333333333,0.9,0.0,0.3,0.7466666666666667,82.62,9,2026-05-11 08:27:05
Alemanha,UEFA,GER,9.0,False,2026-05-11 08:27:03,10,1730.37,0.88,0.9,0.0,0.2,0.73,79.95,10,2026-05-11 08:27:05
Colombia,CONMEBOL,COL,8.5,False,2026-05-11 08:27:03,13,1693.09,0.84,0.85,0.0,0.3,0.7050000000000001,75.94,11,2026-05-11 08:27:05
Marrocos,CAF,MAR,6.0,False,2026-05-11 08:27:03,8,1755.87,0.9066666666666666,0.6,0.0,0.65,0.6983333333333333,74.87,12,2026-05-11 08:27:05
Suica,UEFA,SUI,9.0,False,2026-05-11 08:27:03,19,1649.4,0.76,0.9,0.0,0.4,0.6900000000000001,73.53,13,2026-05-11 08:27:05
Uruguai,CONMEBOL,URU,8.5,False,2026-05-11 08:27:03,17,1673.07,0.7866666666666666,0.85,0.0,0.3,0.6783333333333333,71.66,14,2026-05-11 08:27:05
Austria,UEFA,AUT,9.0,False,2026-05-11 08:27:03,21,1610.0,0.7333333333333334,0.9,0.0,0.3,0.6666666666666667,69.79,15,2026-05-11 08:27:05
Turquia,UEFA,TUR,9.0,False,2026-05-11 08:27:03,24,1580.0,0.6933333333333334,0.9,0.0,0.3,0.6466666666666667,66.58,16,2026-05-11 08:27:05
Equador,CONMEBOL,ECU,8.5,False,2026-05-11 08:27:03,22,1600.0,0.72,0.85,0.0,0.3,0.645,66.31,17,2026-05-11 08:27:05
Estados Unidos,CONCACAF,USA,6.5,True,2026-05-11 08:27:03,16,1673.13,0.8,0.65,0.05,0.4,0.64,65.51,18,2026-05-11 08:27:05
Mexico,CONCACAF,MEX,6.5,True,2026-05-11 08:27:03,15,1681.03,0.8133333333333334,0.65,0.05,0.3,0.6366666666666667,64.97,19,2026-05-11 08:27:05
Noruega,UEFA,NOR,9.0,False,2026-05-11 08:27:03,26,1550.0,0.6666666666666667,0.9,0.0,0.3,0.6333333333333334,64.44,20,2026-05-11 08:27:05
Senegal,CAF,SEN,6.0,False,2026-05-11 08:27:03,14,1688.99,0.8266666666666667,0.6,0.0,0.4,0.6333333333333333,64.44,21,2026-05-11 08:27:05
Suecia,UEFA,SWE,9.0,False,2026-05-11 08:27:03,27,1540.0,0.6533333333333333,0.9,0.0,0.3,0.6266666666666667,63.37,22,2026-05-11 08:27:05
Escocia,UEFA,SCO,9.0,False,2026-05-11 08:27:03,28,1530.0,0.64,0.9,0.0,0.3,0.6200000000000001,62.3,23,2026-05-11 08:27:05
Japao,AFC,JPN,6.0,False,2026-05-11 08:27:03,18,1660.43,0.7733333333333333,0.6,0.0,0.4,0.6066666666666667,60.16,24,2026-05-11 08:27:05
Paraguai,CONMEBOL,PAR,8.5,False,2026-05-11 08:27:03,30,1510.0,0.6133333333333333,0.85,0.0,0.3,0.5916666666666667,57.75,25,2026-05-11 08:27:05
Republica Tcheca,UEFA,CZE,9.0,False,2026-05-11 08:27:03,34,1460.0,0.56,0.9,0.0,0.3,0.5800000000000001,55.88,26,2026-05-11 08:27:05
Coreia do Sul,AFC,KOR,6.0,False,2026-05-11 08:27:03,23,1595.0,0.7066666666666667,0.6,0.0,0.4,0.5733333333333334,54.81,27,2026-05-11 08:27:05
Bosnia e Herzegovina,UEFA,BIH,9.0,False,2026-05-11 08:27:03,36,1440.0,0.5333333333333333,0.9,0.0,0.3,0.5666666666666667,53.74,28,2026-05-11 08:27:05
Australia,AFC,AUS,6.0,False,2026-05-11 08:27:03,25,1560.0,0.6799999999999999,0.6,0.0,0.4,0.56,52.67,29,2026-05-11 08:27:05
Ira,AFC,IRN,6.0,False,2026-05-11 08:27:03,29,1520.0,0.6266666666666667,0.6,0.0,0.3,0.5233333333333333,46.79,30,2026-05-11 08:27:05
Canada,CONCACAF,CAN,6.5,True,2026-05-11 08:27:03,33,1470.0,0.5733333333333333,0.65,0.05,0.25,0.5116666666666666,44.92,31,2026-05-11 08:27:05
Jordania,AFC,JOR,6.0,False,2026-05-11 08:27:03,31,1490.0,0.6,0.6,0.0,0.3,0.51,44.65,32,2026-05-11 08:27:05
Uzbequistao,AFC,UZB,6.0,False,2026-05-11 08:27:03,32,1480.0,0.5866666666666667,0.6,0.0,0.3,0.5033333333333333,43.58,33,2026-05-11 08:27:05
Catar,AFC,QAT,6.0,False,2026-05-11 08:27:03,37,1420.0,0.52,0.6,0.0,0.3,0.47,38.24,34,2026-05-11 08:27:05
Iraque,AFC,IRQ,6.0,False,2026-05-11 08:27:03,38,1400.0,0.5066666666666666,0.6,0.0,0.3,0.46333333333333326,37.17,35,2026-05-11 08:27:05
Tunisia,CAF,TUN,6.0,False,2026-05-11 08:27:03,39,1390.0,0.4933333333333333,0.6,0.0,0.3,0.45666666666666667,36.1,36,2026-05-11 08:27:05
Arabia Saudita,AFC,KSA,6.0,False,2026-05-11 08:27:03,40,1380.0,0.48,0.6,0.0,0.3,0.44999999999999996,35.03,37,2026-05-11 08:27:05
Africa do Sul,CAF,RSA,6.0,False,2026-05-11 08:27:03,41,1370.0,0.4666666666666667,0.6,0.0,0.3,0.44333333333333336,33.96,38,2026-05-11 08:27:05
Cabo Verde,CAF,CPV,6.0,False,2026-05-11 08:27:03,42,1350.0,0.45333333333333337,0.6,0.0,0.3,0.43666666666666665,32.89,39,2026-05-11 08:27:05
Costa do Marfim,CAF,CIV,6.0,False,2026-05-11 08:27:03,43,1340.0,0.43999999999999995,0.6,0.0,0.3,0.42999999999999994,31.82,40,2026-05-11 08:27:05
Egito,CAF,EGY,6.0,False,2026-05-11 08:27:03,44,1330.0,0.42666666666666664,0.6,0.0,0.3,0.42333333333333334,30.75,41,2026-05-11 08:27:05
Gana,CAF,GHA,6.0,False,2026-05-11 08:27:03,45,1320.0,0.41333333333333333,0.6,0.0,0.3,0.41666666666666663,29.68,42,2026-05-11 08:27:05
RD Congo,CAF,COD,6.0,False,2026-05-11 08:27:03,46,1310.0,0.4,0.6,0.0,0.3,0.41000000000000003,28.61,43,2026-05-11 08:27:05
Panama,CONCACAF,PAN,6.5,False,2026-05-11 08:27:03,49,1260.0,0.36,0.65,0.0,0.3,0.405,27.81,44,2026-05-11 08:27:05
Algeria,CAF,ALG,6.0,False,2026-05-11 08:27:03,47,1300.0,0.3866666666666667,0.6,0.0,0.3,0.4033333333333333,27.54,45,2026-05-11 08:27:05
Haiti,CONCACAF,HAI,6.5,False,2026-05-11 08:27:03,50,1200.0,0.3466666666666667,0.65,0.0,0.3,0.3983333333333333,26.74,46,2026-05-11 08:27:05
Nova Zelandia,OFC,NZL,4.0,False,2026-05-11 08:27:03,48,1280.0,0.3733333333333333,0.4,0.0,0.3,0.33666666666666667,16.84,47,2026-05-11 08:27:05
Curacao,CONCACAF,CUW,6.5,False,2026-05-11 08:27:03,75,1100.0,0.013333333333333308,0.65,0.0,0.3,0.23166666666666666,0.0,48,2026-05-11 08:27:05
